WARNING: Logging before InitGoogleLogging() is written to STDERR
I1018 08:53:49.440793 4097533 dynamic_loader.cc:170] Set paddle lib path : /home/wzy/.local/lib/python3.9/site-packages/paddle/libs
I1018 08:53:50.028918 4097533 init.cc:98] Before Parse: argc is 2, Init commandline: dummy --tryfromenv=use_cuda_managed_memory,use_pinned_memory,enable_pir_in_executor,gpugraph_enable_gpu_direct_access,dataloader_use_file_descriptor,graph_get_neighbor_id,curand_dir,auto_growth_chunk_size_in_mb,add_dependency_for_communication_op,log_memory_stats,initial_gpu_memory_in_mb,enable_interpretercore_launch_cinn,mklml_dir,use_system_allocator,fuse_parameter_memory_size,gpugraph_enable_print_op_debug,async_trace_count,cusparselt_dir,max_inplace_grad_add,allocator_strategy,pir_apply_shape_optimization_pass,prim_forward,eager_delete_scope,gpugraph_parallel_copyer_split_maxsize,free_idle_chunk,local_exe_sub_scope_limit,tracer_onednn_ops_on,enable_record_memory,cache_inference_while_scope,host_trace_level,enable_pe_launch_cinn,fraction_of_cpu_memory_to_use,new_executor_use_inplace,print_ir,enable_neighbor_list_use_uva,pir_apply_inplace_pass,allreduce_record_one_event,enable_unused_var_check,gpugraph_offload_param_stat,graph_embedding_split_infer_mode,enable_graph_multi_node_sampling,call_stack_level,jit_engine_type,enable_pir_in_executor_trace_run,enable_tracker_all2all,low_precision_op_list,enable_dependency_builder_debug_info,enable_pir_api,cuda_dir,ir_inplace_kernel_blacklist,paddle_num_threads,enable_pir_with_pt_in_dy2st,trt_ibuilder_cache,tensorrt_dir,use_shm_cache,free_when_no_cache_hit,fraction_of_gpu_memory_to_use,gpu_memory_limit_mb,einsum_opt,enable_exit_when_partial_worker,allow_cinn_ops,fraction_of_cuda_pinned_memory_to_use,fast_eager_deletion_mode,executor_log_deps_every_microseconds,sync_after_alloc,check_nan_inf,multi_node_sample_use_gpu_table,gpugraph_force_device_batch_num_equal,all_blocks_convert_trt,prim_enabled,use_auto_growth_v2,enable_all2all_use_fp16,gpugraph_offload_gather_copy_maxsize,check_nan_inf_level,dygraph_debug,convert_all_blocks,use_virtual_memory_auto_growth,gpu_allocator_retry_time,cudnn_dir,gpugraph_enable_hbm_table_collision_stat,enable_api_kernel_fallback,cpu_deterministic,query_dest_rank_by_multi_node,run_kp_kernel,graph_load_in_parallel,deny_cinn_ops,sort_sum_gradient,use_stream_safe_cuda_allocator,auto_free_cudagraph_allocations_on_launch,enable_cinn_auto_tune,use_cinn,search_cache_max_number,dist_threadpool_size,initial_cpu_memory_in_mb,gpugraph_hbm_table_load_factor,gpugraph_merge_grads_segment_size,init_allocated_mem,new_executor_use_cuda_graph,use_auto_growth_pinned_allocator,new_executor_sequential_run,new_executor_serial_run,mkl_dir,pir_subgraph_saving_dir,enable_dump_main_program,static_executor_perfstat_filepath,tracer_profile_fname,fuse_parameter_groups_size,prim_forward_blacklist,pe_profile_fname,gpugraph_dedup_pull_push_mode,reallocate_gpu_memory_in_mb,graph_metapath_split_opt,nccl_dir,new_executor_static_build,gpugraph_offload_param_extends,prim_skip_dynamic,gpugraph_slot_feasign_max_num,alloc_fill_value,prim_all,get_host_by_name_time,cupti_dir,use_stride_kernel,print_sub_graph_dir,enable_adjust_op_order,inner_op_parallelism,cusolver_dir,benchmark,enable_async_trace,gpugraph_debug_gpu_memory,gpugraph_storage_mode,apply_pass_to_program,lapack_dir,cusparse_dir,eager_delete_tensor_gb,static_runtime_data_save_path,gpugraph_parallel_stream_num,reader_queue_speed_test_mode,set_to_1d,enable_auto_rdma_trans,npu_storage_format,prim_check_ops,memory_fraction_of_eager_deletion,multiple_of_cupti_buffer_size,check_infer_symbolic,use_autotune,print_allocator_trace_info,cinn_subgraph_graphviz_dir,enable_auto_detect_gpu_topo,tracer_onednn_ops_off,use_mkldnn,prim_backward,gpugraph_sparse_table_storage_mode,fleet_executor_with_standalone,cublas_dir,gpugraph_load_node_list_into_hbm,tensor_operants_mode,enable_sparse_inner_gather,graph_neighbor_size_percent,custom_device_mem_record,save_static_runtime_data,enable_opt_get_features,op_dir,use_cuda_malloc_async_allocator,new_executor_use_local_scope,gpugraph_enable_segment_merge_grads 
I1018 08:53:50.029026 4097533 init.cc:106] After Parse: argc is 2
I1018 08:53:50.029140 4097533 os_info.cc:117] SetCurrentThreadName MainThread
I1018 08:53:50.029151 4097533 init.cc:234] ENV [CUSTOM_DEVICE_ROOT]=/home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device
I1018 08:53:50.029155 4097533 init.cc:143] Try loading custom device libs from: [/home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device]
I1018 08:53:50.029294 4097533 device_manager.cc:741] Found lib: /home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device/libpaddle-custom-mlu.so
I1018 08:53:50.177063 4097533 device_manager.cc:255] Register Device - mlu
I1018 08:53:50.177115 4097533 device_manager.cc:266] GetDeviceCount is 1
I1018 08:53:50.177121 4097533 custom_device.cc:1099] Succeed in loading custom runtime in lib: /home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device/libpaddle-custom-mlu.so
I1018 08:53:50.177127 4097533 custom_kernel.cc:36] Size of custom_kernel_map: 253
I1018 08:53:50.177153 4097533 custom_kernel.cc:58] Succeed in registering kernel [rsqrt:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177518 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), uint8)] to Paddle. It will be used like native ones.
I1018 08:53:50.177524 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177531 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177536 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177538 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), int16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177544 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), int8)] to Paddle. It will be used like native ones.
I1018 08:53:50.177548 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), bool)] to Paddle. It will be used like native ones.
I1018 08:53:50.177597 4097533 custom_kernel.cc:58] Succeed in registering kernel [logical_xor:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177613 4097533 custom_kernel.cc:58] Succeed in registering kernel [where:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177618 4097533 custom_kernel.cc:58] Succeed in registering kernel [where:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177620 4097533 custom_kernel.cc:58] Succeed in registering kernel [where:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177624 4097533 custom_kernel.cc:58] Succeed in registering kernel [where:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177635 4097533 custom_kernel.cc:58] Succeed in registering kernel [p_norm_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177639 4097533 custom_kernel.cc:58] Succeed in registering kernel [p_norm_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177645 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177651 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177656 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177660 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), int16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177664 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), bool)] to Paddle. It will be used like native ones.
I1018 08:53:50.177672 4097533 custom_kernel.cc:58] Succeed in registering kernel [less_than_raw:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177701 4097533 custom_kernel.cc:58] Succeed in registering kernel [triu_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177706 4097533 custom_kernel.cc:58] Succeed in registering kernel [triu_grad:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177708 4097533 custom_kernel.cc:58] Succeed in registering kernel [triu_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177719 4097533 custom_kernel.cc:58] Succeed in registering kernel [hardsigmoid_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177723 4097533 custom_kernel.cc:58] Succeed in registering kernel [hardsigmoid_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177728 4097533 custom_kernel.cc:58] Succeed in registering kernel [gather_nd:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177734 4097533 custom_kernel.cc:58] Succeed in registering kernel [gather_nd:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177745 4097533 custom_kernel.cc:58] Succeed in registering kernel [huber_loss:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177749 4097533 custom_kernel.cc:58] Succeed in registering kernel [huber_loss:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177760 4097533 custom_kernel.cc:58] Succeed in registering kernel [one_hot:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177764 4097533 custom_kernel.cc:58] Succeed in registering kernel [one_hot:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177770 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177778 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177784 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177788 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), int16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177793 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), bool)] to Paddle. It will be used like native ones.
I1018 08:53:50.177798 4097533 custom_kernel.cc:58] Succeed in registering kernel [equal_raw:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177816 4097533 custom_kernel.cc:58] Succeed in registering kernel [depthwise_conv2d:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177819 4097533 custom_kernel.cc:58] Succeed in registering kernel [depthwise_conv2d:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177829 4097533 custom_kernel.cc:58] Succeed in registering kernel [mean_raw:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177856 4097533 custom_kernel.cc:58] Succeed in registering kernel [mean_raw:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177865 4097533 custom_kernel.cc:58] Succeed in registering kernel [gather_nd_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177870 4097533 custom_kernel.cc:58] Succeed in registering kernel [gather_nd_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177878 4097533 custom_kernel.cc:58] Succeed in registering kernel [index_sample_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177882 4097533 custom_kernel.cc:58] Succeed in registering kernel [index_sample_grad:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177917 4097533 custom_kernel.cc:58] Succeed in registering kernel [index_sample_grad:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.177922 4097533 custom_kernel.cc:58] Succeed in registering kernel [index_sample_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177932 4097533 custom_kernel.cc:58] Succeed in registering kernel [pool2d_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177937 4097533 custom_kernel.cc:58] Succeed in registering kernel [pool2d_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177942 4097533 custom_kernel.cc:58] Succeed in registering kernel [exp:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177973 4097533 custom_kernel.cc:58] Succeed in registering kernel [exp:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177982 4097533 custom_kernel.cc:58] Succeed in registering kernel [sigmoid_cross_entropy_with_logits:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.177986 4097533 custom_kernel.cc:58] Succeed in registering kernel [sigmoid_cross_entropy_with_logits:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.177999 4097533 custom_kernel.cc:58] Succeed in registering kernel [scatter:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178002 4097533 custom_kernel.cc:58] Succeed in registering kernel [scatter:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178038 4097533 custom_kernel.cc:58] Succeed in registering kernel [log:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178042 4097533 custom_kernel.cc:58] Succeed in registering kernel [log:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178049 4097533 custom_kernel.cc:58] Succeed in registering kernel [embedding:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178081 4097533 custom_kernel.cc:58] Succeed in registering kernel [embedding:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178084 4097533 custom_kernel.cc:58] Succeed in registering kernel [embedding:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178094 4097533 custom_kernel.cc:58] Succeed in registering kernel [momentum:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178098 4097533 custom_kernel.cc:58] Succeed in registering kernel [momentum:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178112 4097533 custom_kernel.cc:58] Succeed in registering kernel [clip_grad:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178117 4097533 custom_kernel.cc:58] Succeed in registering kernel [clip_grad:(mlu, Undefined(AnyLayout), float32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178122 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), uint8)] to Paddle. It will be used like native ones.
I1018 08:53:50.178128 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:50.178131 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), complex128)] to Paddle. It will be used like native ones.
I1018 08:53:50.178138 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), float64)] to Paddle. It will be used like native ones.
I1018 08:53:50.178186 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), int64)] to Paddle. It will be used like native ones.
I1018 08:53:50.178190 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), int32)] to Paddle. It will be used like native ones.
I1018 08:53:50.178193 4097533 custom_kernel.cc:58] Succeed in registering kernel [memcpy_h2d:(mlu, Undefined(AnyLayout), int16)] to Paddle. It will be used like native ones.
